Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,WI,2018,"12        ",Female,17,Right-Handed,166,24,163,1,Car,5,.799,42,Soccer,1000,1000,1000,950,950,950,24,"Same length",67,72,"Ring finger",March,Fall,Yes,No,Breads/Sandwiches,Water,"Social studies",8.5,9.5,2,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",70,300,15,1,1,5,1,0,20,3,25,1,15,2,Some,"Graduate degree",Pop,Telepathy,Happy,"Musician or singer","International aid"
USA,PA,2012,"12        ",Female,17,Left-Handed,161,23,168,1,Car,25,.318,40,Other,600,1000,500,800,1000,1000,23,"Same length","92 ",97,"Ring finger",May,Spring,No,No,Fruit,Water,"Mathematics and statistics",8,9.5,6,"Yes - broadband connection","Text messaging",62,68,14,1,18,12,25,0,6,6,16,3,0,2,"A lot","Graduate degree",Pop,"Freeze time",Healthy,Relative,"Education/Youth development"
USA,CO,2011,"9         ",Male,14,Right-Handed,178,26,176,1,Car,10,.531,38,Swimming,0,0,0,,1000,1000,25,"Right foot",9.75,10.75,"Ring finger",May,Summer,Yes,No,Meat,Water,History,8,8,5,"Yes - broadband connection","Text messaging",0,0,8,0,2,1,0,0,0,0,0,.5,0,3,"A lot","Some college","Rock and roll",Invisibility,Rich,Friend,Religious
USA,CA,2015,"12        ",Female,17,Left-Handed,168.9,60.96,165,1,Car,10,0.712,43,Soccer,,,,,,,55.88,"Right foot",70,65,"Index finger",April,Fall,Yes,No,Pizza/Pasta,Water,"Mathematics and statistics",7,10,4,"Yes - broadband connection","Text messaging",10,10,20,30,21,13,8,0,80,80,50,30,0,1,Some,"Graduate degree",Pop,Fly,Happy,Relative,"Wildlife, animals"
USA,VA,2014,"12        ",Male,17,Ambidextrous,177,25,177,1,Car,2,0.361,29,Basketball,539,786,337,477,909,803,25,"Same length",70,70,"Same length",December,Winter,Yes,No,Meat,Milk,Music,10,2,5,"Yes - broadband connection","Cell phone",1,0,10,2,0,20,70,2,2,1,20,5,40,8,Some,"Some college",Country,Fly,Happy,"Religious figure",Religious
USA,CA,2018,"12        ",Male,16,Right-Handed,185,28,182,1.2,Walk,7,.408,30,Swimming,999,450,600,800,500,750,29,"Left foot",83,80,"Index finger",November,,No,No,Meat,Water,Science,7.5,12,4,"Yes - broadband connection","In person",50,70,10,.5,14,10,5,3,2,2,2,3,.2,0,None,"Graduate degree","Punk rock","Freeze time",Healthy,"Musician or singer",Health
USA,MI,2018,"9         ",Female,14,Right-Handed,161,23,150,1,Car,30,0.719,40,Other,1000,950,950,1000,800,1000,20,"Right foot",69,70,"Ring finger",January,Winter,Yes,No,Desserts,Water,Music,6,11,3,,"Text messaging",100+,100+,8,1,24,4,5,1,21,100,72,90,0,3,None,"Graduate degree",Pop,Fly,Rich,"Musician or singer",Environment
USA,FL,2015,"12        ",Female,18,Right-Handed,156.2,22.8,147.5,1,Car,25,0.644,61,None,0,0,0,500,1000,1000,22.9,"Left foot",0.8,0.75,"Index finger",July,Summer,No,No,Meat,"Soft drink (caffeinated)",Music,7,10,4,"Yes - broadband connection","Text messaging",50,50,9,7,10,7,0,0,20,30,50,7,0,3,"A lot","Undergraduate degree","Punk rock",Invisibility,Happy,"Musician or singer",Health
USA,HI,2011,"9         ",Male,14,Right-Handed,"7685 ",48,7848,2,Car,15,.33,43,Bowling,791,594,449,,920,743,500,"Same length",50,50,"Ring finger",May,Summer,No,No,Meat,Water,Art,4,3,2,"Yes - broadband connection","In person",0,0,,,,,,,,,,,,,"A lot","Graduate degree","Rock and roll",Telepathy,Rich,"Musician or singer",
USA,WI,2017,"8         ",Female,14,Right-Handed,172,30,171,1,Car,"5 ",,,Other,400,300,800,600,700,800,31,"Same length",90,90,"Same length",April,Fall,No,No,Seafood,Water,Science,7,11,4,"Yes - broadband connection",,3,5,5,1,2,3,1,2,4,4,4,2,0,1,Some,"Graduate degree","Rap/Hip hop",Telepathy,Happy,"Religious figure","International aid"
